key,label,shot,clean_accuracy,clean_accuracy_stderr,deranged_accuracy,deranged_accuracy_stderr,accuracy_gap,clean_edit_distance,clean_edit_distance_stderr,deranged_edit_distance,deranged_edit_distance_stderr,edit_distance_gap,clean_file,deranged_file,clean_sha256,deranged_sha256
evo2,Evo2 40B,32,0.2775,0.029170995349781424,0.155,0.02443296332763787,0.12250000000000003,1.8075,0.10294618335162634,2.90625,0.11876329005907746,1.09875,results/remote_principal_runs/evo2/clean/evo2_40b_ic32.json,results/remote_principal_runs/evo2/deranged/evo2_40b_deranged_ic32.json,351ef86a929bd360e68e95fd33fd2f06f3985e13edba7363ce5ff4288f2ec3e5,5b4652c3720611ff071edb9b517fc792d266dff883f75026bf7ebcb1c91fad9a
evo2,Evo2 40B,64,0.325,0.03102825366101878,0.14125,0.02427321080175144,0.18375000000000002,1.54,0.1070713205147283,2.94375,0.13855056647194544,1.40375,results/remote_principal_runs/evo2/clean/evo2_40b_ic64.json,results/remote_principal_runs/evo2/deranged/evo2_40b_deranged_ic64.json,798a7875c7c3c0ef125be7abb93676bf2b2726cb10b99f53dd48d8e95a2813f6,c7c7d359622f7139a140f73d586819c6539b3177146f963a14d338c330bb54dd
nextterm,NextTerm 440M,1,0.0975,0.014820048528390129,0.0975,0.014820048528390129,0.0,3.1775,0.0886055696313554,3.1775,0.0886055696313554,0.0,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic1.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic1.json,0a262e7293f8965b428fba18a868acbb9660c5827292ac103c257c5574575744,c7a8db26509e97e5d6b9988df0a748f00ae33f38df2ba6b57a56bfc29d4863d6
nextterm,NextTerm 440M,2,0.1675,0.022836982676741203,0.11375,0.016485281926676903,0.053750000000000006,2.92375,0.11406591163432525,3.125,0.10232462207517937,0.20124999999999993,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic2.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic2.json,3ed0d745fa202acdd992d912e453d47e4aa4939f73c23bc3872a751f4856dce3,61a05a12fd4ffdc5f49625a9b8419a40ba477661ff3597b2b6625cb2dd22c5c3
nextterm,NextTerm 440M,4,0.19125,0.025217175383921063,0.1225,0.021758256298971136,0.06875,2.6375,0.10955747765027683,3.09125,0.11246288669529332,0.4537499999999999,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic4.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic4.json,32bb43615925e5f7397ca1899453eff46663fb3d9d6eef10392137dce3b911ee,109ea18d1a091d0dad25fbbc69c6eab082ebf094a5b85a8a8fbc304a86ff9bca
nextterm,NextTerm 440M,8,0.23,0.02807592519860344,0.14875,0.024917477436895208,0.08125000000000002,2.44875,0.12971042680999983,2.925,0.11875830646121285,0.47624999999999984,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic8.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic8.json,9b83bda1936163351b237cf7726fc5eafc1c708b3df6eacd80072bc41a8e51da,0c837c6cbd9e807c7e37232192b9fb3c53b6b7980f5e7fd145e4e1d7744cce1a
nextterm,NextTerm 440M,16,0.32,0.035010820838100545,0.15625,0.02570809083427695,0.16375,2.0725,0.13175174658148836,2.81875,0.12110568835742297,0.7462500000000003,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic16.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic16.json,199234767b129f151bcfac8c7abda9059f26795fcef6eb6ce291cac5f42e46f3,203ef7346c02c77798ebc5835a35b1f565dba4647de6f00e5d367d820143e80a
nextterm,NextTerm 440M,32,0.39625,0.0380247377613335,0.1575,0.02686361927224328,0.23875,1.81625,0.14356410905616662,2.885,0.1382118853518946,1.0687499999999999,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic32.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic32.json,d324057cf36286a75869decdddd88f5425d202137539497274a6a2c53c0a9331,2d060cd393076b7b52d73e0dd6517e5556d82827893f029260055ac2e2dfd3a8
nextterm,NextTerm 440M,64,0.47,0.038316860755832,0.17375,0.028253843485748477,0.29625,1.4675,0.13050528260526004,2.755,0.1288169753227933,1.2874999999999999,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic64.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic64.json,9b13fd452a7f894cb4ee62d1fdf8cb3362ae5dea40bdfa0bbefd18c1cd6e64fe,3be295b2f365155fae0011a24687a2f721110eaea20b543dd65256b45d2e0671
imagegpt,ImageGPT large,1,0.19125,0.02333164225473703,0.19125,0.02333164225473703,0.0,2.79,0.08911532081544904,2.79,0.08911532081544904,0.0,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_1shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_1shot_leftpad_deranged.json,dbae13b0f47de5110cd9785c0d6b4be5dba0a4b17c4117ca480539520565126f,ee99c1e6e61d0cf604344b3fd654fb5fadef6ea2f35e6f2922f14b2f9f6dfb8a
imagegpt,ImageGPT large,2,0.25,0.026650089544451305,0.16625,0.02474969390689203,0.08374999999999999,2.405,0.12290055107502755,2.9625,0.11008920854645037,0.5575000000000001,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_2shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_2shot_leftpad_deranged.json,a2469fe597342d0423ba1db64c0d93694e450d15f8d7f67e81da60d56239ad60,e1bc9d0e10eba9394043772fee560a50648f2fe53048fc13e34c78bfd6e02d6a
imagegpt,ImageGPT large,4,0.3325,0.031039442161497836,0.18125,0.02514948992393968,0.15125000000000002,2.1025,0.1462858779267776,2.93125,0.12115780624933548,0.8287499999999999,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_4shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_4shot_leftpad_deranged.json,d3f4543e2cf5d98c77cbfece223cf583c1b80e862f437ca4a4d4efcb7b652b9a,126f35f4961bb1c0249b7e25b148a6b7581345cd4c139da9623085d3dff6abaa
imagegpt,ImageGPT large,8,0.38,0.032659863237109045,0.195,0.02953340857778225,0.185,2.02375,0.14339074563702997,2.87875,0.13266231481746155,0.855,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_8shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_8shot_leftpad_deranged.json,1fcda9cbf1c49cbefd48a671757b93be40aea521c68f8fcc2370b6dfe1148050,637029e20c179b8d80e945a4ab13482ce656a1efeca5ebd3d000c65e16c334f9
imagegpt,ImageGPT large,16,0.42625,0.03567065787637415,0.17875,0.02707633942329828,0.24750000000000003,1.80375,0.14799005861710762,2.89375,0.13428137153910905,1.0899999999999999,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_16shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_16shot_leftpad_deranged.json,f53146630bf9dc95a88b9cc29cc9b6033fc0ab4682ef06d59e13bc9ae3ce0ecd,225b44335030a857759ecfcf9881b78199ac254bf8dd8e8521e44a8592ff591b
imagegpt,ImageGPT large,31,0.45125,0.03688018924281515,0.19625,0.029207493071387546,0.255,1.745,0.14779439034747502,2.73375,0.13061450286467371,0.98875,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_31shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_31shot_leftpad_deranged.json,248eb20283a29148ac6fd420ebf225f7d9d82d9c831e458d2687cefa0debf0eb,dbb173d06b5d62669b7c905d1df783c04e60b864171040bda7fed9108d912002
timesfm,TimesFM 2.5 200M,1,0.12375,0.01661877589117839,0.12375,0.01661877589117839,0.0,3.0675,0.0995320490489309,3.0675,0.0995320490489309,0.0,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic1.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic1.json,80fea9f1657da54a4a99ee3ba7b503d1d233885e01d6e3ebef473492bc3da02c,32fb4a8d482c58d3c87d6f1684efed4df0e944bfb24a9834c59b7aa7bd2cacc5
timesfm,TimesFM 2.5 200M,2,0.18375,0.02333164225473703,0.13625,0.022409681236718052,0.04749999999999999,2.4525,0.10580946998919302,2.83375,0.11859945268325515,0.3812500000000001,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic2.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic2.json,1b5c9d837e284b223901a703bcb11206f534e25e452d7beabfcdffdc5442f8d3,436af85e3d265e10d0ec31a2710368fc1bbb87897a64a2213cb9fde230b2be8f
timesfm,TimesFM 2.5 200M,4,0.20875,0.02481338175544426,0.15125,0.023455779908395948,0.057499999999999996,2.23375,0.12490722567270689,2.8525,0.12456211180358856,0.6187499999999999,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic4.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic4.json,384a7b15f83d714194029b439e11888a699bee7396af39a8674ca39b19634453,94485295bb71fa850c46892e5f740cac1cefbed5a12570a1f0346bba5fad2911
timesfm,TimesFM 2.5 200M,8,0.2325,0.027867154193212534,0.13125,0.02405899472697742,0.10125,2.05375,0.11893433327392529,2.72875,0.11913057039664632,0.6749999999999998,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic8.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic8.json,788dcf6d06ad3cf4f838d9c1007f8012daed7a16657a3e60703f806861435039,b8d290b4d68df92f0af1a64c26ca01b706f8b2bd43a9a0be414b594123ac7e81
timesfm,TimesFM 2.5 200M,16,0.27625,0.02776928531796789,0.14125,0.024142817385573112,0.135,1.89875,0.1303609862743614,2.77375,0.12138321849548739,0.8750000000000002,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic16.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic16.json,a40292e6a5775b2700ce4fe123270df2a954196ba731da3a197efb1ed2d63914,2336cd9a3e4324ea6ed900a6e7f37fc19560bb3e3038313ab195037a423c986a
timesfm,TimesFM 2.5 200M,24,0.285,0.026357104729028368,0.15375,0.02492760983975865,0.13124999999999998,1.7975,0.11498764755794029,2.7325,0.11464729619686861,0.9349999999999998,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic24.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic24.json,eb27952d2662cfa8a1e3667c7e215f64b15e49b99f714a558f9fcd1330522565,b529049e925b94ce32c22331a67a68c2d858e2312d42475a85445901b82f083e
timesfm,TimesFM 2.5 200M,32,0.29875,0.026044772542060658,0.13125,0.02418983998677665,0.1675,1.7675,0.11597495157981053,2.78375,0.11505728426143284,1.0162499999999999,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic32.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic32.json,51617b1e8c7f82a58d84df4a35476b7ddc36b353a285ffd56cbfb1dda297b186,44dbe743b93d6cdfdc2eb14cc799c13fcf46a403b4d84e09d2741e447bfd805f
