run_key,label,family,canonical,shot,clean_accuracy,deranged_accuracy,clean_minus_deranged,paired_task_se,task_bootstrap_ci95_low,task_bootstrap_ci95_high
qwen3_0_6b,Qwen3 0.6B,qwen3,False,4,0.1553125,0.1484375,0.006875,0.003399555266516638,0.00015625,0.0134375
qwen3_0_6b,Qwen3 0.6B,qwen3,False,8,0.1578125,0.140703125,0.017109375,0.004624864297678164,0.00828125,0.02609375
qwen3_0_6b,Qwen3 0.6B,qwen3,False,16,0.161484375,0.124296875,0.0371875,0.007429135702870603,0.023671875,0.05234375
qwen3_0_6b,Qwen3 0.6B,qwen3,False,32,0.177421875,0.123984375,0.0534375,0.00866107979342826,0.037263671875,0.07125
qwen3_0_6b,Qwen3 0.6B,qwen3,False,64,0.2040625,0.12609375,0.07796875,0.009897066809091021,0.059140625,0.097109375
qwen3_1_7b,Qwen3 1.7B,qwen3,False,1,0.128515625,0.128515625,0.0,0.0,0.0,0.0
qwen3_1_7b,Qwen3 1.7B,qwen3,False,2,0.150390625,0.147734375,0.00265625,0.0048008445125268945,-0.006796875,0.011875
qwen3_1_7b,Qwen3 1.7B,qwen3,False,4,0.156640625,0.143828125,0.0128125,0.004033624066030523,0.005,0.020703125
qwen3_1_7b,Qwen3 1.7B,qwen3,False,8,0.16765625,0.141484375,0.026171875,0.005804403327787888,0.015546875,0.037578125
qwen3_1_7b,Qwen3 1.7B,qwen3,False,16,0.190625,0.145390625,0.045234375,0.008290532099122746,0.029998046875,0.061953125
qwen3_1_7b,Qwen3 1.7B,qwen3,False,32,0.211640625,0.151171875,0.06046875,0.00993104530781802,0.041875,0.080390625
qwen3_1_7b,Qwen3 1.7B,qwen3,False,64,0.247109375,0.155,0.092109375,0.013748284855580004,0.066951171875,0.121015625
qwen3_4b,Qwen3 4B,qwen3,False,1,0.136484375,0.136484375,0.0,0.0,0.0,0.0
qwen3_4b,Qwen3 4B,qwen3,False,2,0.149453125,0.1459375,0.003515625,0.0037939589282118395,-0.00375,0.0109375
qwen3_4b,Qwen3 4B,qwen3,False,4,0.167421875,0.14734375,0.020078125,0.004342375597820183,0.011640625,0.028439453124999972
qwen3_4b,Qwen3 4B,qwen3,False,8,0.17546875,0.13125,0.04421875,0.007828440177681011,0.02984375,0.060390625
qwen3_4b,Qwen3 4B,qwen3,False,16,0.194375,0.140703125,0.053671875,0.010716365170211963,0.03359375,0.07609375
qwen3_4b,Qwen3 4B,qwen3,False,32,0.232734375,0.1521875,0.080546875,0.012372442897697553,0.05765625,0.10578125
qwen3_4b,Qwen3 4B,qwen3,False,64,0.26484375,0.16046875,0.104375,0.015125181305783683,0.076640625,0.13468945312499997
qwen3_8b,Qwen3 8B,qwen3,False,1,0.143046875,0.143046875,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3 8B,qwen3,False,2,0.1571875,0.14921875,0.00796875,0.004431926940358079,-0.000546875,0.01695507812499997
qwen3_8b,Qwen3 8B,qwen3,False,4,0.1578125,0.1375,0.0203125,0.004947293621059882,0.010703125,0.03015625
qwen3_8b,Qwen3 8B,qwen3,False,8,0.176875,0.13046875,0.04640625,0.007266104408806118,0.03304492187500001,0.061015625
qwen3_8b,Qwen3 8B,qwen3,False,16,0.216953125,0.140234375,0.07671875,0.013095609152985308,0.052421875,0.103984375
qwen3_8b,Qwen3 8B,qwen3,False,32,0.258203125,0.145859375,0.11234375,0.014743430941221266,0.084529296875,0.141875
qwen3_8b,Qwen3 8B,qwen3,False,64,0.30078125,0.161640625,0.139140625,0.01640030969598473,0.10921875,0.173361328125
evo2_1b_base,Evo2 1B base,evo2,False,1,0.12578125,0.12578125,0.0,0.0,0.0,0.0
evo2_1b_base,Evo2 1B base,evo2,False,2,0.152578125,0.1425,0.010078125,0.0030618118396849767,0.0040625,0.016015625
evo2_1b_base,Evo2 1B base,evo2,False,4,0.166796875,0.15109375,0.015703125,0.004109298185517046,0.007578125,0.023671875
evo2_1b_base,Evo2 1B base,evo2,False,8,0.196640625,0.16265625,0.033984375,0.005283985370979561,0.023984375,0.044453125
evo2_1b_base,Evo2 1B base,evo2,False,16,0.217890625,0.165625,0.052265625,0.005506045043351251,0.0415625,0.063203125
evo2_1b_base,Evo2 1B base,evo2,False,32,0.247109375,0.164453125,0.08265625,0.0076192804606475175,0.06796875,0.097890625
evo2_1b_base,Evo2 1B base,evo2,False,64,0.28140625,0.173203125,0.108203125,0.009368010204676227,0.0903125,0.126640625
evo2_7b,Evo2 7B,evo2,False,1,0.129453125,0.129453125,0.0,0.0,0.0,0.0
evo2_7b,Evo2 7B,evo2,False,2,0.155546875,0.146796875,0.00875,0.0038164876066240734,0.001171875,0.016171875
evo2_7b,Evo2 7B,evo2,False,4,0.184296875,0.152578125,0.03171875,0.004561949729858115,0.022890625,0.04078125
evo2_7b,Evo2 7B,evo2,False,8,0.216015625,0.158984375,0.05703125,0.006802174694267885,0.04375,0.0703125
evo2_7b,Evo2 7B,evo2,False,16,0.2421875,0.1528125,0.089375,0.00830318290976905,0.07390625,0.105859375
evo2_7b,Evo2 7B,evo2,False,32,0.282265625,0.151640625,0.130625,0.011661042678551952,0.1078125,0.153984375
evo2_7b,Evo2 7B,evo2,False,64,0.345,0.152578125,0.192421875,0.016706810895060188,0.159451171875,0.225390625
nextterm_47m,NextTerm 47M,nextterm,False,1,0.09671875,0.09671875,0.0,0.0,0.0,0.0
nextterm_47m,NextTerm 47M,nextterm,False,2,0.14265625,0.112421875,0.030234375,0.008800146455132812,0.0153125,0.049375
nextterm_47m,NextTerm 47M,nextterm,False,4,0.186015625,0.130390625,0.055625,0.014174410901347984,0.03015625,0.08515625
