run_key,label,shot,gap_8,gap_128,gap_delta_128_minus_8,paired_task_se,normal_ci95_low,normal_ci95_high
qwen3,Qwen3 14B,1,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,Qwen3 14B,2,0.0,0.007421875,0.007421875,0.014157479038755336,-0.02032678391596046,0.03517053391596046
qwen3,Qwen3 14B,4,0.04,0.021328125,-0.018671875,0.015988085308244568,-0.050008522204159356,0.01266477220415935
qwen3,Qwen3 14B,8,0.0425,0.044765625,0.002265625,0.01194736752307947,-0.02115121534523576,0.02568246534523576
qwen3,Qwen3 14B,16,0.06375,0.079765625,0.016015625,0.012358821890278418,-0.008207665904945701,0.0402389159049457
qwen3,Qwen3 14B,32,0.115,0.11046875,-0.00453125,0.01429951600806913,-0.032558301375815495,0.023495801375815493
qwen3,Qwen3 14B,64,0.1325,0.138828125,0.006328125,0.014711161479510413,-0.02250575149984041,0.03516200149984041
evo2,Evo2 40B,1,0.0,0.0,0.0,0.0,0.0,0.0
evo2,Evo2 40B,2,0.015,0.0096875,-0.0053125,0.01535269346063459,-0.0354037791828438,0.024778779182843796
evo2,Evo2 40B,4,0.00375,0.024609375,0.020859375,0.017812491347131514,-0.014053108040377765,0.055771858040377764
evo2,Evo2 40B,8,0.06625,0.052734375,-0.013515625,0.015438779426365883,-0.043775632675677134,0.01674438267567713
evo2,Evo2 40B,16,0.0675,0.0825,0.015,0.015118723392959749,-0.014632697850201107,0.0446326978502011
evo2,Evo2 40B,32,0.12375,0.127265625,0.003515625,0.016165819969993514,-0.028169382141187284,0.03520063214118729
evo2,Evo2 40B,64,0.18,0.180078125,7.8125e-05,0.0188903675645207,-0.03694699542646057,0.03710324542646057
nextterm,NextTerm 440M,1,0.0,0.0,0.0,0.0,0.0,0.0
nextterm,NextTerm 440M,2,0.05875,0.026484375,-0.032265625,0.01206514302751788,-0.05591330533393504,-0.008617944666064952
nextterm,NextTerm 440M,4,0.07,0.058984375,-0.011015625,0.016499402976816544,-0.04335445483456043,0.021323204834560426
nextterm,NextTerm 440M,8,0.085,0.105703125,0.020703125,0.013070159883027357,-0.00491438837073362,0.04632063837073362
nextterm,NextTerm 440M,16,0.16875,0.176796875,0.008046875,0.016405857303501307,-0.024108605314862558,0.04020235531486256
nextterm,NextTerm 440M,32,0.24125,0.2475,0.00625,0.014080463414548341,-0.02134770829251475,0.033847708292514746
nextterm,NextTerm 440M,64,0.295,0.3140625,0.0190625,0.016376845041209488,-0.013036116280770598,0.051161116280770594
imagegpt,ImageGPT large,1,0.0,0.0,0.0,0.0,0.0,0.0
imagegpt,ImageGPT large,2,0.08375,0.092734375,0.008984375,0.016311608865684883,-0.02298637837674237,0.04095512837674237
imagegpt,ImageGPT large,4,0.15125,0.166796875,0.015546875,0.01696346432723971,-0.017701515081389826,0.04879526508138983
imagegpt,ImageGPT large,8,0.1825,0.205703125,0.023203125,0.01779323695644218,-0.011671619434626673,0.05807786943462667
imagegpt,ImageGPT large,16,0.24375,0.22609375,-0.01765625,0.0173792747471084,-0.05171962850433246,0.016407128504332465
imagegpt,ImageGPT large,31,0.2575,0.252421875,-0.005078125,0.016677159560966555,-0.03776535773949445,0.02760910773949445
timesfm,TimesFM 2.5 200M,1,0.0,0.000234375,0.000234375,0.00013394266249825413,-2.81526184965781e-05,0.0004969026184965781
timesfm,TimesFM 2.5 200M,2,0.04875,0.027265625,-0.021484375,0.016868296446643245,-0.05454623603542076,0.011577486035420761
timesfm,TimesFM 2.5 200M,4,0.0575,0.05265625,-0.00484375,0.01610981594873593,-0.03641898925952242,0.02673148925952242
timesfm,TimesFM 2.5 200M,8,0.10125,0.095078125,-0.006171875,0.017297375709039373,-0.04007473138971717,0.02773098138971717
timesfm,TimesFM 2.5 200M,16,0.135,0.14171875,0.00671875,0.01782735596821779,-0.028222867697706867,0.04166036769770687
timesfm,TimesFM 2.5 200M,24,0.13125,0.159140625,0.027890625,0.01662490884798339,-0.00469419634204744,0.060475446342047434
timesfm,TimesFM 2.5 200M,32,0.1675,0.16671875,-0.00078125,0.015608221736625596,-0.03137336460378617,0.029810864603786166
timesfm,TimesFM 2.5 200M,48,0.17625,0.18546875,0.00921875,0.01628626762093861,-0.022702334537039674,0.04113983453703967
progen2,ProGen2 base,1,0.0,0.0,0.0,0.0,0.0,0.0
progen2,ProGen2 base,2,-0.005,0.010390625,0.015390625,0.013456011426470769,-0.010983157395882707,0.041764407395882705
progen2,ProGen2 base,4,0.03125,0.0184375,-0.0128125,0.014167554422941885,-0.04058090666896609,0.014955906668966094
progen2,ProGen2 base,8,0.06375,0.04203125,-0.02171875,0.017723499243268426,-0.05645680851680611,0.013019308516806116
progen2,ProGen2 base,16,0.07125,0.06171875,-0.00953125,0.01867474243387552,-0.046133745170396014,0.027071245170396017
progen2,ProGen2 base,32,0.11625,0.091171875,-0.025078125,0.0182417756040871,-0.06083200518401072,0.010675755184010718
progen2,ProGen2 base,48,0.13625,0.099140625,-0.037109375,0.017554259191521007,-0.07151572301538117,-0.002703026984618828
