run_key,label,family,canonical,condition,shot,model,seed,tasks,trials_per_task,total_predictions,mean_accuracy,accuracy_task_cluster_se,mean_edit_distance,edit_distance_task_cluster_se,path
evo2,Evo2 40B,evo2,True,deranged,16,arcinstitute/evo2_40b,42,100,128,12800,0.155703125,0.022635220506251642,2.865390625,0.11424028877695198,evo2/deranged/evo2_40b_deranged_ic16.json
evo2,Evo2 40B,evo2,True,deranged,32,arcinstitute/evo2_40b,42,100,128,12800,0.14828125,0.022749524992612926,2.87953125,0.11385400746648051,evo2/deranged/evo2_40b_deranged_ic32.json
evo2,Evo2 40B,evo2,True,deranged,64,arcinstitute/evo2_40b,42,100,128,12800,0.152265625,0.023327682273194435,2.85203125,0.11517307022560677,evo2/deranged/evo2_40b_deranged_ic64.json
nextterm,NextTerm 440M,nextterm,True,clean,1,N8Programs/NextTerm-440M,42,100,128,12800,0.091796875,0.011530407255995334,3.216328125,0.06294954479334912,nextterm/clean/NextTerm-440M_ic1.json
nextterm,NextTerm 440M,nextterm,True,clean,2,N8Programs/NextTerm-440M,42,100,128,12800,0.14921875,0.019902407736952434,2.87796875,0.0880226390011134,nextterm/clean/NextTerm-440M_ic2.json
nextterm,NextTerm 440M,nextterm,True,clean,4,N8Programs/NextTerm-440M,42,100,128,12800,0.198671875,0.02421945130745765,2.608125,0.09577835987079306,nextterm/clean/NextTerm-440M_ic4.json
nextterm,NextTerm 440M,nextterm,True,clean,8,N8Programs/NextTerm-440M,42,100,128,12800,0.257734375,0.02839323352022554,2.33890625,0.1101442320079361,nextterm/clean/NextTerm-440M_ic8.json
nextterm,NextTerm 440M,nextterm,True,clean,16,N8Programs/NextTerm-440M,42,100,128,12800,0.338671875,0.03327861108799736,2.034453125,0.12240666734570069,nextterm/clean/NextTerm-440M_ic16.json
nextterm,NextTerm 440M,nextterm,True,clean,32,N8Programs/NextTerm-440M,42,100,128,12800,0.41234375,0.03604893584187249,1.745546875,0.12393362485911122,nextterm/clean/NextTerm-440M_ic32.json
nextterm,NextTerm 440M,nextterm,True,clean,64,N8Programs/NextTerm-440M,42,100,128,12800,0.48125,0.03734216838183169,1.47984375,0.1245145333380386,nextterm/clean/NextTerm-440M_ic64.json
nextterm,NextTerm 440M,nextterm,True,deranged,1,N8Programs/NextTerm-440M,42,100,128,12800,0.091796875,0.011530407255995334,3.216328125,0.06294954479334912,nextterm/deranged/NextTerm-440M_ic1.json
nextterm,NextTerm 440M,nextterm,True,deranged,2,N8Programs/NextTerm-440M,42,100,128,12800,0.122734375,0.01747079677739655,3.07734375,0.07584435503851929,nextterm/deranged/NextTerm-440M_ic2.json
nextterm,NextTerm 440M,nextterm,True,deranged,4,N8Programs/NextTerm-440M,42,100,128,12800,0.1396875,0.020422161733455745,2.992421875,0.08808269067441639,nextterm/deranged/NextTerm-440M_ic4.json
nextterm,NextTerm 440M,nextterm,True,deranged,8,N8Programs/NextTerm-440M,42,100,128,12800,0.15203125,0.023307303569914006,2.916171875,0.10227917394388955,nextterm/deranged/NextTerm-440M_ic8.json
nextterm,NextTerm 440M,nextterm,True,deranged,16,N8Programs/NextTerm-440M,42,100,128,12800,0.161875,0.02507290899491265,2.846484375,0.10874385988694527,nextterm/deranged/NextTerm-440M_ic16.json
nextterm,NextTerm 440M,nextterm,True,deranged,32,N8Programs/NextTerm-440M,42,100,128,12800,0.16484375,0.0251420120163277,2.846796875,0.11489722711102406,nextterm/deranged/NextTerm-440M_ic32.json
nextterm,NextTerm 440M,nextterm,True,deranged,64,N8Programs/NextTerm-440M,42,100,128,12800,0.1671875,0.025394418665696732,2.844765625,0.11403983182243323,nextterm/deranged/NextTerm-440M_ic64.json
imagegpt,ImageGPT large,imagegpt,True,clean,1,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.19234375,0.021526346456775855,2.8346875,0.07730645367720086,imagegpt/clean/imagegpt-large-bf16_1shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,clean,2,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.271171875,0.023733737859762585,2.39109375,0.0969489741290483,imagegpt/clean/imagegpt-large-bf16_2shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,clean,4,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.348828125,0.0286198605997736,2.125625,0.1206749938104631,imagegpt/clean/imagegpt-large-bf16_4shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,clean,8,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.38890625,0.030825634244286037,1.9878125,0.12702084902038163,imagegpt/clean/imagegpt-large-bf16_8shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,clean,16,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.41453125,0.03293193525937094,1.84734375,0.13344839137032583,imagegpt/clean/imagegpt-large-bf16_16shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,clean,31,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.435,0.03431915516589103,1.762578125,0.13556072497503394,imagegpt/clean/imagegpt-large-bf16_31shot_leftpad_clean.json
imagegpt,ImageGPT large,imagegpt,True,deranged,1,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.19234375,0.021526346456775855,2.8346875,0.07730645367720086,imagegpt/deranged/imagegpt-large-bf16_1shot_leftpad_deranged.json
imagegpt,ImageGPT large,imagegpt,True,deranged,2,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.1784375,0.023995031182822965,2.966328125,0.08950179179322301,imagegpt/deranged/imagegpt-large-bf16_2shot_leftpad_deranged.json
imagegpt,ImageGPT large,imagegpt,True,deranged,4,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.18203125,0.02520519776861361,2.94203125,0.09883915396149374,imagegpt/deranged/imagegpt-large-bf16_4shot_leftpad_deranged.json
imagegpt,ImageGPT large,imagegpt,True,deranged,8,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.183203125,0.025801060599171886,2.93,0.10747348937924062,imagegpt/deranged/imagegpt-large-bf16_8shot_leftpad_deranged.json
imagegpt,ImageGPT large,imagegpt,True,deranged,16,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.1884375,0.02660871277097565,2.861171875,0.11208382700400674,imagegpt/deranged/imagegpt-large-bf16_16shot_leftpad_deranged.json
imagegpt,ImageGPT large,imagegpt,True,deranged,31,N8Programs/imagegpt-large-bf16,42,100,128,12800,0.182578125,0.02563043078653778,2.88546875,0.11860408636633715,imagegpt/deranged/imagegpt-large-bf16_31shot_leftpad_deranged.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,1,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.108671875,0.012161052772096913,3.0653125,0.06819658602168166,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic1.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,2,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.170546875,0.019586901459574705,2.5265625,0.09236582062260161,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic2.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,4,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.209375,0.022071682979595546,2.24546875,0.10345520410035,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic4.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,8,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.245625,0.022790501535228942,2.048515625,0.10732288080947801,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic8.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,16,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.28421875,0.02393974183959783,1.875234375,0.10790375332011112,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic16.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,24,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.300625,0.024051685307480024,1.788984375,0.10790655522337826,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic24.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,32,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.307109375,0.023941007559021614,1.7665625,0.11150120865376303,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic32.json
timesfm,TimesFM 2.5 200M,timesfm,True,clean,48,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.325703125,0.024450361588296672,1.727421875,0.1165989479275373,timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic48.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,1,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.1084375,0.01213119927692496,3.065234375,0.06820154489098387,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic1.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,2,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.14328125,0.02034138025577977,2.846640625,0.09501745133676531,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic2.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,4,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.15671875,0.022212244124862755,2.72359375,0.10610964785827892,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic4.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,8,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.150546875,0.022880549783096036,2.742109375,0.10667964827408763,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic8.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,16,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.1425,0.022812889162309502,2.75765625,0.10707688835655949,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic16.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,24,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.141484375,0.023108458105132967,2.732578125,0.10647083772992534,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic24.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,32,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.140390625,0.022634730233964846,2.767890625,0.10923570083080296,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic32.json
timesfm,TimesFM 2.5 200M,timesfm,True,deranged,48,google/timesfm-2.5-200m-transformers,42,100,128,12800,0.140234375,0.023061048436686712,2.775234375,0.10889640142082069,timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic48.json
progen2,ProGen2 base,progen2,True,clean,1,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.124609375,0.016414092566973987,3.08,0.06197221520095018,progen2/clean/ProGen2-base-bf16_ic1.json
progen2,ProGen2 base,progen2,True,clean,2,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.13734375,0.017850221168221395,2.883515625,0.07196338910411473,progen2/clean/ProGen2-base-bf16_ic2.json
