key,label,modality,expected_signal,common_shots,best_clean_accuracy_shot,best_clean_accuracy,best_clean_accuracy_stderr,best_deranged_accuracy_shot,best_deranged_accuracy,best_deranged_accuracy_stderr,best_accuracy_gap,best_accuracy_z_gap,best_accuracy_z_denominator,best_clean_accuracy_file,best_deranged_accuracy_file,note,best_clean_edit_shot,best_clean_edit_distance,best_clean_edit_stderr,best_deranged_edit_shot,best_deranged_edit_distance,best_deranged_edit_stderr,best_edit_gap,best_edit_z_gap,best_edit_z_denominator
qwen3,Qwen3 14B,language tokens,positive,1 2 4 8 16 32 64,64,0.28375,0.03275323833168441,2,0.16125,0.024314789010938687,0.1225,3.003043130750612,0.04079195491587264,results/remote_principal_runs/qwen3/clean/Qwen3-14B-Base_ic64.json,results/remote_principal_runs/qwen3/deranged/Qwen3-14B-Base_deranged_ic2.json,Representative Qwen3 language-token run.,32,1.9125,0.10722775015843802,32,2.8925,0.12958777883829334,0.98,5.826444222598076,0.16819864098227083
evo2,Evo2 40B,genomics,positive,1 2 4 8 16 32 64,64,0.325,0.03102825366101878,4,0.175,0.026471826075236588,0.15000000000000002,3.6777189531409578,0.04078615084817518,results/remote_principal_runs/evo2/clean/evo2_40b_ic64.json,results/remote_principal_runs/evo2/deranged/evo2_40b_deranged_ic4.json,Representative Evo2 nucleotide-token run.,64,1.54,0.1070713205147283,16,2.7725,0.12092316410085213,1.2325,7.630931031754933,0.16151371239906936
nextterm,NextTerm 440M,integer sequence tokens,positive,1 2 4 8 16 32 64,64,0.47,0.038316860755832,64,0.17375,0.028253843485748477,0.29625,6.22277627002051,0.047607368021126625,results/remote_principal_runs/nextterm/clean/NextTerm-440M_ic64.json,results/remote_principal_runs/nextterm/deranged/NextTerm-440M_ic64.json,Representative NextTerm digit-token run.,64,1.4675,0.13050528260526004,64,2.755,0.1288169753227933,1.2874999999999999,7.021230607161544,0.18337241319018496
imagegpt,ImageGPT large,raster image tokens,positive,1 2 4 8 16 31,31,0.45125,0.03688018924281515,31,0.19625,0.029207493071387546,0.255,5.420349590973733,0.047044936072876214,results/remote_principal_runs/imagegpt/clean/imagegpt-large-bf16_31shot_leftpad_clean.json,results/remote_principal_runs/imagegpt/deranged/imagegpt-large-bf16_31shot_leftpad_deranged.json,Representative ImageGPT left-pad raster-token run.,31,1.745,0.14779439034747502,31,2.73375,0.13061450286467371,0.98875,5.012946930159927,0.19723927138571484
timesfm,TimesFM 2.5 200M,time-series patches,positive,1 2 4 8 16 24 32 48,48,0.32,0.027485074002616273,24,0.15375,0.02492760983975865,0.16625,4.480472907349307,0.03710545815985197,results/remote_principal_runs/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic48.json,results/remote_principal_runs/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic24.json,Representative TimesFM 2-bit sine-lobe run.,32,1.7675,0.11597495157981053,8,2.72875,0.11913057039664632,0.9612499999999997,5.781618144314228,0.16625968301716956
progen2,ProGen2 base,protein amino-acid tokens,positive,1 2 4 8 16 32 48,48,0.285,0.02946706773345595,2,0.15875,0.024990844283052906,0.12624999999999997,3.2675575508316723,0.03863742199976441,results/remote_principal_runs/progen2/clean/ProGen2-base-bf16_ic48.json,results/remote_principal_runs/progen2/deranged/ProGen2-base-bf16_ic2.json,Representative ProGen2 protein-token run.,48,1.99375,0.12695907984285904,16,2.87875,0.13365792639375634,0.8850000000000002,4.800783247740486,0.1843449192205314
chessgpt,ChessGPT 50M,chess PGN tokens,negative,1 2 4 8,8,0.1725,0.021005350448748704,8,0.175,0.018378044652588188,-0.0025000000000000022,-0.08957310214165506,0.027910164326411135,results/remote_principal_runs/chessgpt/clean/Chess-50M-bf16_signal2-wipe_bit4_ic8.json,results/remote_principal_runs/chessgpt/deranged/Chess-50M-bf16_signal2-wipe_bit4_deranged_ic8.json,Signal2-wipe ChessGPT negative/control run.,8,1.6225,0.0641814229392357,8,1.64875,0.06227725459101372,0.026249999999999885,0.2935259086126926,0.08942992502456318
musicroll,MusicRoll 50M,music time-slice tokens,negative,2 4 8 16 32,2,0.1725,0.02699022456783608,8,0.1875,0.02709061673627079,-0.015000000000000013,-0.3922492027493533,0.03824099550709601,results/remote_principal_runs/musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic2.json,results/remote_principal_runs/musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic8.json,ROLL time-slice music run; aggregate paired-mapping result is negative despite retrieval-family behavior.,16,2.8025,0.10726718976462468,8,2.71875,0.11599339007203832,-0.08375000000000021,-0.5300981536033076,0.15798960896338735
